field,latitude,longitude
1,46.286,38.75
1,57.821,48.25
1,57.071,102.0
1,52.929,24.8
1,51.929,20.55
1,52.679,41.3
1,48.036,18.5
1,52.929,26.05
1,62.714,30.3
1,38.25,32.0
1,52.429,44.05
1,51.679,45.05
1,52.429,17.8
1,52.429,51.55
1,52.679,42.3
1,52.929,43.55
1,53.179,68.55
1,52.429,80.3
1,44.393,23.8
1,51.429,32.55
1,62.464,23.3
1,52.429,43.05
1,56.821,16.75
1,44.393,26.55
1,53.429,72.8
1,42.393,122.55
1,41.143,28.3
1,43.643,123.8
1,53.179,29.3
1,46.786,43.0
1,37.5,67.0
1,53.179,78.8
1,37.0,36.0
1,52.679,35.05
1,46.286,83.5
1,57.071,56.5
1,48.036,33.25
1,52.429,49.8
1,37.0,41.75
1,57.321,50.0
1,53.679,45.3
1,51.429,116.05
1,53.429,51.8
1,53.179,41.3
1,53.179,103.05
1,48.036,33.0
1,52.679,30.3
1,47.036,29.5
1,51.679,71.55
1,45.393,29.3
1,62.464,26.05
1,52.429,25.3
1,45.393,43.8
1,47.286,22.5
1,53.429,27.8
1,43.643,145.05
1,52.929,66.8
1,53.429,17.05
1,57.321,46.5
1,46.786,40.5
1,36.75,41.0
1,37.5,60.5
1,44.393,41.8
1,44.143,23.55
1,53.429,77.55
1,51.679,48.8
1,36.0,38.0
1,53.679,21.55
1,57.071,22.5
1,44.143,42.55
1,48.036,43.75
1,53.179,51.8
1,61.714,63.8
1,52.929,17.55
1,43.893,119.3
1,52.429,23.8
1,53.429,22.05
1,43.643,23.05
1,51.929,19.05
1,52.929,24.55
1,52.929,32.55
1,53.429,39.8
1,44.893,39.05
1,52.679,53.8
1,53.179,29.8
1,53.179,15.8
1,57.321,52.0
1,47.036,128.0
1,37.75,118.75
1,43.393,77.3
1,56.821,45.25
1,52.679,38.3
1,52.929,49.8
1,47.786,44.25
1,45.143,27.3
1,51.929,42.05
1,52.679,30.8
1,53.429,80.55
1,37.75,59.25
1,37.25,40.0
1,47.536,127.0
1,56.821,37.25
1,52.429,41.8
1,43.143,27.3
1,52.679,64.3
1,44.143,25.3
1,43.643,77.05
1,37.25,39.75
1,53.679,15.05
1,45.393,40.8
1,45.143,27.55
1,47.536,33.0
1,53.179,63.8
1,43.893,43.8
1,46.786,17.0
1,53.179,26.8
1,43.393,46.05
1,37.75,33.5
1,51.929,45.8
1,52.679,52.55
1,53.179,58.8
1,57.571,49.75
1,51.929,38.3
1,44.143,42.8
1,43.893,22.8
1,36.5,43.75
1,47.286,39.0
1,46.536,43.0
1,53.679,17.05
1,52.679,48.55
1,56.571,65.75
1,52.179,45.55
1,44.893,27.55
1,52.179,54.3
1,51.429,70.55
1,47.786,38.5
1,44.643,85.55
1,41.143,26.55
1,42.643,71.05
1,46.286,130.75
1,52.179,19.3
1,53.179,45.3
1,53.679,19.05
1,62.464,30.05
1,47.536,133.25
1,46.536,40.5
1,46.786,30.25
1,43.143,27.8
1,53.429,81.05
1,52.929,79.05
1,43.893,132.05
1,51.679,53.8
1,53.429,69.3
1,46.786,43.5
1,52.679,15.55
1,43.143,46.55
1,47.786,46.25
1,47.786,20.75
1,47.786,34.5
1,46.286,38.5
1,51.679,70.8
1,47.786,28.75
1,52.679,43.8
1,42.643,24.05
1,47.286,132.25
1,53.429,20.05
1,52.929,53.3
1,52.429,55.05
1,48.036,32.75
1,42.893,141.8
1,53.179,18.05
1,47.036,37.0
1,44.643,40.05
1,44.893,133.05
1,41.143,35.3
1,51.929,68.05
1,51.429,116.3
1,51.429,18.8
1,52.179,58.55
1,47.036,31.0
1,47.286,17.5
1,46.286,21.25
1,47.536,28.75
1,52.429,44.55
1,51.679,39.3
1,53.179,66.05
1,52.679,51.8
1,37.5,28.75
1,51.929,26.3
1,46.786,19.0
1,51.679,68.05
1,57.321,52.5
1,57.571,49.5
1,43.393,26.55
1,53.429,40.8
1,46.536,28.0
1,56.821,50.0
1,52.929,64.8
1,53.179,73.8
1,46.286,129.25
1,48.036,41.0
1,56.821,61.5
1,45.393,35.8
1,45.143,125.55
1,51.929,74.55
1,37.5,36.25
1,52.679,50.05
1,52.179,37.05
1,56.571,94.5
1,48.036,46.5
1,46.786,131.0
1,53.679,50.8
1,51.929,39.3
1,37.75,20.75
1,47.036,30.5
1,52.429,19.55
1,44.393,78.3
1,36.75,66.75
1,43.643,28.55
1,43.893,25.8
1,47.786,131.0
1,52.429,45.3
1,47.536,40.5
1,51.679,47.05
1,53.179,59.8
1,37.0,37.5
