forest,latitude,longitude
1,52.179,129.8
1,52.429,124.55
1,67.107,16.75
1,51.929,107.55
1,61.714,29.8
1,66.857,50.75
1,52.679,93.3
1,57.071,122.0
1,67.357,157.75
1,62.464,99.3
1,51.679,89.55
1,61.714,150.8
1,56.571,137.75
1,57.321,100.0
1,57.071,81.5
1,61.964,52.8
1,37.25,36.25
1,57.821,99.5
1,57.821,46.5
1,52.179,139.3
1,56.571,22.75
1,56.821,57.75
1,51.679,85.8
1,41.893,72.3
1,42.643,73.3
1,61.714,59.3
1,52.679,102.05
1,53.679,43.8
1,43.893,41.3
1,67.607,59.75
1,47.786,137.5
1,41.893,73.8
1,36.25,136.25
1,67.357,142.0
1,52.429,113.55
1,57.571,139.5
1,61.714,153.8
1,61.714,112.05
1,67.107,44.0
1,67.357,146.5
1,41.893,121.8
1,56.571,158.0
1,51.929,90.55
1,43.143,80.3
1,36.0,136.75
1,53.179,113.05
1,37.25,100.0
1,42.643,44.05
1,67.607,89.5
1,41.893,126.55
1,43.143,129.05
1,57.321,119.5
1,56.821,28.0
1,62.464,48.8
1,57.071,97.25
1,61.964,172.55
1,43.643,17.8
1,56.821,31.25
1,67.357,166.5
1,57.321,25.25
1,62.464,49.3
1,46.286,23.0
1,44.393,16.8
1,67.357,152.25
1,52.929,110.8
1,56.571,129.75
1,57.821,53.75
1,47.536,121.75
1,57.821,47.0
1,57.571,31.25
1,62.464,170.3
1,56.571,109.5
1,44.893,142.55
1,44.393,40.05
1,62.464,67.55
1,43.143,81.05
1,67.357,103.5
1,61.714,128.05
1,44.643,119.55
1,67.107,171.75
1,51.679,127.3
1,36.75,69.5
1,41.643,76.55
1,47.786,135.0
1,57.321,24.5
1,67.607,19.75
1,51.929,133.3
1,36.25,53.0
1,56.571,163.0
1,44.893,135.8
1,47.286,122.25
1,62.464,152.55
1,57.571,124.25
1,41.643,46.8
1,37.5,42.5
1,67.107,105.0
1,41.143,117.55
1,67.357,155.75
1,51.429,100.3
1,62.214,58.05
1,56.571,131.0
1,61.714,57.3
1,57.321,83.0
1,53.679,19.8
1,53.179,84.8
1,41.893,34.8
1,36.0,129.0
1,52.679,99.8
1,57.321,104.25
1,51.679,121.55
1,61.714,60.3
1,62.464,171.05
1,67.107,103.0
1,37.25,112.75
1,51.679,103.3
1,57.321,125.0
1,61.964,107.8
1,36.5,113.25
1,43.143,80.8
1,41.143,129.55
1,66.857,66.25
1,67.107,157.75
1,56.821,47.25
1,66.857,107.5
1,57.321,63.0
1,53.429,158.05
1,67.357,145.5
1,61.964,159.55
1,47.286,135.25
1,56.571,74.0
1,67.357,113.75
1,66.857,165.75
1,66.857,32.5
1,66.857,158.0
1,56.571,123.0
1,67.107,93.5
1,51.429,137.3
1,47.786,119.5
1,62.214,86.05
1,67.357,168.25
1,52.429,107.55
1,61.714,145.05
1,57.321,134.5
1,66.857,128.75
1,67.107,58.25
1,41.143,41.3
1,51.429,52.55
1,41.143,111.8
1,36.75,128.5
1,47.036,137.0
1,52.429,105.55
1,57.571,16.0
1,67.357,149.75
1,51.429,136.8
1,61.714,109.55
1,67.107,124.75
1,42.143,123.8
1,57.071,136.75
1,44.643,15.55
1,66.857,50.0
1,67.357,146.25
1,56.821,57.25
1,57.571,75.0
1,57.071,133.75
1,67.357,174.0
1,45.143,129.05
1,42.393,84.8
1,62.464,161.3
1,52.679,81.55
1,38.75,28.0
1,62.214,136.3
1,61.714,52.05
1,62.714,26.8
1,61.714,149.05
1,41.393,117.55
1,47.036,83.25
1,67.107,173.0
1,62.714,23.05
1,47.286,82.0
1,57.321,73.5
1,53.179,130.05
1,38.0,139.75
1,67.107,134.25
1,36.75,101.0
1,52.429,100.05
1,38.0,41.5
1,46.536,135.0
1,57.321,87.75
1,41.393,43.8
1,43.143,22.8
1,38.75,112.25
1,42.393,18.55
1,52.929,34.05
1,53.679,18.3
1,62.464,57.3
1,62.214,161.05
1,67.607,62.25
1,53.179,60.05
1,42.643,76.05
1,56.571,116.0
1,52.179,136.8
1,52.179,104.05
1,67.357,89.75
1,62.464,107.55
1,67.607,80.75
1,53.179,125.8
1,61.964,53.05
1,61.964,48.8
1,67.107,34.25
1,52.929,88.05
1,67.357,168.5
1,41.893,128.55
1,57.321,79.25
1,52.179,114.8
1,41.393,76.8
1,42.143,127.3
1,61.964,51.3
1,43.643,130.8
1,61.714,140.55
1,52.679,95.8
1,41.393,117.8
1,57.571,15.0
1,66.857,87.25
1,66.857,20.25
1,46.786,22.5
1,52.679,121.05
1,61.964,139.3
1,57.071,127.0
1,44.643,147.05
1,57.571,109.25
1,42.893,45.55
1,51.429,109.8
1,41.893,22.8
1,62.464,16.05
1,62.214,34.3
1,56.571,49.0
1,62.464,172.8
1,66.857,138.25
1,56.821,15.0
1,66.857,108.25
1,67.107,95.0
1,43.893,145.55
1,67.607,54.75
1,45.393,26.05
1,56.571,72.25
1,66.857,141.25
1,61.714,44.3
1,37.25,113.25
1,41.643,125.55
1,41.643,116.8
1,52.679,130.3
1,38.0,101.25
1,41.893,23.3
1,57.571,24.5
1,56.571,104.5
1,57.321,60.75
1,52.929,158.05
1,67.357,29.5
1,37.5,69.5
1,61.964,114.3
1,61.964,148.55
1,51.679,124.55
1,56.821,16.25
1,67.107,22.25
1,51.929,91.55
1,43.643,16.55
1,67.357,161.5
1,38.0,22.25
1,41.643,118.55
1,67.607,90.0
1,62.464,41.05
1,62.464,163.3
1,44.393,81.55
1,67.607,91.25
1,52.929,88.55
1,57.821,78.25
1,61.964,51.8
1,43.393,40.3
1,46.536,128.0
1,57.071,159.75
1,62.464,29.05
1,57.821,42.75
1,61.964,94.55
1,57.321,75.25
1,57.821,38.0
1,52.179,96.8
1,61.714,61.05
1,51.429,126.8
1,43.393,40.55
1,42.393,74.8
1,62.214,101.8
1,67.607,86.25
1,44.643,17.55
1,47.786,25.75
1,62.464,125.3
1,61.714,109.3
1,66.857,30.0
1,57.821,68.0
1,62.214,47.8
1,67.107,103.25
1,67.357,52.25
1,62.464,53.3
1,67.107,173.75
1,62.214,55.55
1,62.714,27.3
1,53.179,116.3
1,47.036,142.25
1,67.107,43.5
1,67.607,61.0
1,41.143,140.55
1,66.857,123.25
1,41.393,117.3
1,51.929,137.3
1,67.357,96.0
1,41.893,25.05
1,61.714,96.3
1,62.464,127.3
1,62.214,111.8
1,57.571,36.5
1,62.464,110.8
1,43.143,21.55
1,42.893,76.05
1,57.321,123.75
1,52.929,116.05
1,38.75,140.5
1,52.929,92.3
1,57.821,80.0
1,57.571,59.75
1,61.714,129.55
1,67.357,62.5
1,53.429,131.8
1,51.929,122.3
1,41.643,28.05
1,57.321,67.5
1,52.179,111.3
1,52.679,138.05
1,53.429,94.8
1,61.714,26.3
1,62.464,27.05
1,57.821,65.25
1,67.107,54.25
1,52.179,127.8
1,44.393,142.05
1,61.714,46.3
1,67.607,51.5
1,52.929,139.55
1,62.464,51.05
1,38.0,15.75
1,51.679,119.05
1,66.857,122.75
1,56.571,59.0
1,67.107,87.0
1,67.357,172.25
1,52.679,105.3
1,53.429,131.55
1,51.429,84.55
1,53.179,16.8
1,67.357,83.25
1,67.107,167.75
1,57.821,92.25
1,62.464,122.05
1,36.5,127.0
1,36.0,139.0
1,62.464,116.8
1,36.75,128.25
1,44.893,34.3
1,67.357,98.75
1,61.714,25.55
